i 've been here several times since my first visit many years ago	5	1
our server was great	5	1
i ordered the white and milk chocolate fondue	4	0
i had tofu green curry with special request for veggies	2	0
a small roll with butter accompanies it	4	1
we are so happy to have found this little gem	5	1
both pasta and pizza	4	1
great gorgonzola fries .	5	1
the service was good but the food was not	2	1
breakfast is good but dinner is not worthwhile	3	1
if the coffee does n't get you wired	4	0
all the food is great	4	1
finally , a decent carpet cleaning service in lv .	5	1
they roll your selections up in a hand held cone	5	1
wow	1	0
we actually went through two plates full of the salsa and warm crisp chips	4	0
fresh burrata cheese with roasted grapes and toasted bread 17 5 5	4	1
delicious and has more flavor than you 'd expect	4	1
i ca n't drink more than one	5	0
i know some places may charge for this but it comes in a bigger size	3	1
also great customer service and nice place to lounge	5	1
they were some of the best pancakes i 've ever had	4	1
no flavor and the awful salad	1	1
i would have ordered a drink & a side easily if asked	1	1
opened in the late hours of the casino	2	0
one of the top restaurants in las vegas	5	1
like do you know someone who ca n't taste anything without dousing it in 50	5	0
support your local business !	5	0
by the time i turned my head it was all replaced with fresh chips and	5	1
but i still depend on this place for a solid breakfast	4	1
grab a customized juice afterwards and you 're good to go	4	1
prices were very reasonable and food was hot and fresh	5	1
i came here for the first time today because i wanted to treat myself to	4	1
this is the first gym i 've ever joined	3	0
authentic mexican food with friendly service	4	1
they have a small bar area where you can purchase drinks ( wine	5	1
and an added bonus is that you have access for the day to the spa	4	1
i do not feel like i got my money 's worth and i was sad	1	1
if you are looking for beautiful and delicious cakes	4	1
but the food and drinks were great	4	1
pretty generous portions of cold lobster on a buttery roll	4	1
it just oozes modern cool elegance	5	1
i know good coffee when i taste it and this pace makes an excellent cup	3	0
the sweet tea is so good if you come in give it a try	5	1
my friend and i decide to go there for dinner on sat	3	0
romantic outdoor patio in the back	5	1
my friend got the hula bowl & i got the chocolate dream both in regular	4	1
still a great hidden gem	4	1
at one point we asked for plates ( they had only given us bowls )	3	1
you can order the sticks with cheese for extra	5	1
small plates that let you try a lot of the menu in one go	4	1
wow was i surprised when this was one of my favorite things we did together	4	1
if you 're out there for some clothes shopping then you have to visit macy	3	0
i 've been a loyal customer to sprint for 5 years till yesterday .	1	1
perfect for us since we just wanted a quick lunch before our flight	3	0
the beer is good and the added option of getting food from nearby worth takeaway	4	1
the salad bar had everything i could want	3	0
it was very cool & you can get the tour & show as a bundled	5	1
<unk> 's wings are big	5	1
which adds a glop of thai chili paste to their soy based broth	2	0
it was my first time having high tea in this cute shop	4	1
but they also valet if you choose to use it	5	1
too bad as the food and service is good	1	0
this place is for anyone that wants to chill with friends and hit ( or	4	1
one large communal table that can seat 6	5	1
we <unk> right into it as we were hangry	1	0
and saw the dance floor packed	4	1
we had awesome security and the rest of the staff took good care of us	4	1
the steak came closer to medium when medium rare was requested and was under seasoned	3	0
5 5 ( notes , coffee is amazing .	3	0
the description also mentioned a bunch of fruit but i only got 2 blueberries and	2	1
mostly friendly waitstaff and huge beer selection	4	1
i shared the corn beef hash with my sister	2	0
many cocktails which was great as well	4	1
i went to wonderland on what i calculated to be the ultimate visiting day	4	1
ordered a small vanilla iced coffee and the cup was about 1 4 straight syrup	1	1
other than to <unk> pulled pork on poutine barque <unk>	5	0
as mentioned before parking is a pain	4	0
super cool place with such great drinks	5	1
the portion size is good but there 's really nothing outstanding about the place	2	0
there are many other great options in the area	1	1
<unk> 's is a fun place to explore .	4	1
at the windows and a second floor indoor balcony	4	0
see what i mean about awesome waitstaff	5	1
the stuffed baked potato is worth every single calorie and then some	5	1
stumbled upon this place when i was driving down maryland pkwy .	5	0
but it wo n't be a regular spot of mine any time soon	4	0
they brought warm cornbread to the table and kept the coffee flowing	3	1
my favorite thing here was that they offer black rice	3	0
no warm greetings or <unk> during either of my two visits or pleasant attitude when	2	1
the dry rub are fantastic	5	1
i have lived in las vegas for 15 years and have burgers from the greatest	5	1
after passing through a small foyer when you first enter this blues house	4	0
not sure if our other dish even had shrimp in it with small bits of	1	1
kinda gross	2	1
the noodles were weirdly chewy and the corn was hard somehow	2	1
i tried to style it and put loads of gel on it to make it	1	1
this starbucks has a pretty great location for those of us who drive between az	3	0
and just great overall vibe	5	1
they also lose stars for attempting to appeal to the average joe	3	1